Date,Date_mod,deaths
2016M09D28,2016-09-28,142
2016M09D29,2016-09-29,138
2016M09D30,2016-09-30,150
2016M10D01,2016-10-01,152
2016M10D02,2016-10-02,119
2016M10D03,2016-10-03,122
2016M10D04,2016-10-04,103
2016M10D05,2016-10-05,134
2016M10D06,2016-10-06,123
2016M10D07,2016-10-07,136
2016M10D08,2016-10-08,139
2016M10D09,2016-10-09,153
2016M10D10,2016-10-10,143
2016M10D11,2016-10-11,149
2016M10D12,2016-10-12,141
2016M10D13,2016-10-13,169
2016M10D14,2016-10-14,140
2016M10D15,2016-10-15,140
2016M10D16,2016-10-16,140
2016M10D17,2016-10-17,165
2016M10D18,2016-10-18,142
2016M10D19,2016-10-19,149
2016M10D20,2016-10-20,148
2016M10D21,2016-10-21,152
2016M10D22,2016-10-22,139
2016M10D23,2016-10-23,145
2016M10D24,2016-10-24,127
2016M10D25,2016-10-25,141
2016M10D26,2016-10-26,155
2016M10D27,2016-10-27,144
2016M10D28,2016-10-28,132
2016M10D29,2016-10-29,139
2016M10D30,2016-10-30,151
2016M10D31,2016-10-31,155
2016M11D01,2016-11-01,147
2016M11D02,2016-11-02,143
2016M11D03,2016-11-03,143
2016M11D04,2016-11-04,136
2016M11D05,2016-11-05,147
2016M11D06,2016-11-06,132
2016M11D07,2016-11-07,167
2016M11D08,2016-11-08,138
2016M11D09,2016-11-09,133
2016M11D10,2016-11-10,152
2016M11D11,2016-11-11,124
2016M11D12,2016-11-12,163
2016M11D13,2016-11-13,140
2016M11D14,2016-11-14,140
2016M11D15,2016-11-15,160
2016M11D16,2016-11-16,149
2016M11D17,2016-11-17,145
2016M11D18,2016-11-18,155
2016M11D19,2016-11-19,150
2016M11D20,2016-11-20,146
2016M11D21,2016-11-21,181
2016M11D22,2016-11-22,148
2016M11D23,2016-11-23,154
2016M11D24,2016-11-24,140
2016M11D25,2016-11-25,147
2016M11D26,2016-11-26,143
2016M11D27,2016-11-27,133
2016M11D28,2016-11-28,154
2016M11D29,2016-11-29,140
2016M11D30,2016-11-30,157
2016M12D01,2016-12-01,156
2016M12D02,2016-12-02,144
2016M12D03,2016-12-03,132
2016M12D04,2016-12-04,127
2016M12D05,2016-12-05,137
2016M12D06,2016-12-06,147
2016M12D07,2016-12-07,154
2016M12D08,2016-12-08,130
2016M12D09,2016-12-09,164
2016M12D10,2016-12-10,143
2016M12D11,2016-12-11,168
2016M12D12,2016-12-12,172
2016M12D13,2016-12-13,168
2016M12D14,2016-12-14,141
2016M12D15,2016-12-15,159
2016M12D16,2016-12-16,144
2016M12D17,2016-12-17,135
2016M12D18,2016-12-18,148
2016M12D19,2016-12-19,142
2016M12D20,2016-12-20,153
2016M12D21,2016-12-21,150
2016M12D22,2016-12-22,132
2016M12D23,2016-12-23,158
2016M12D24,2016-12-24,168
2016M12D25,2016-12-25,157
2016M12D26,2016-12-26,164
2016M12D27,2016-12-27,151
2016M12D28,2016-12-28,173
2016M12D29,2016-12-29,165
2016M12D30,2016-12-30,165
2016M12D31,2016-12-31,173
2017M01D01,2017-01-01,158
2017M01D02,2017-01-02,139
2017M01D03,2017-01-03,182
2017M01D04,2017-01-04,179
2017M01D05,2017-01-05,132
2017M01D06,2017-01-06,172
2017M01D07,2017-01-07,155
2017M01D08,2017-01-08,154
2017M01D09,2017-01-09,170
2017M01D10,2017-01-10,159
2017M01D11,2017-01-11,160
2017M01D12,2017-01-12,162
2017M01D13,2017-01-13,155
2017M01D14,2017-01-14,163
2017M01D15,2017-01-15,142
2017M01D16,2017-01-16,150
2017M01D17,2017-01-17,149
2017M01D18,2017-01-18,171
2017M01D19,2017-01-19,153
2017M01D20,2017-01-20,166
2017M01D21,2017-01-21,156
2017M01D22,2017-01-22,154
2017M01D23,2017-01-23,169
2017M01D24,2017-01-24,160
2017M01D25,2017-01-25,148
2017M01D26,2017-01-26,159
2017M01D27,2017-01-27,164
2017M01D28,2017-01-28,154
2017M01D29,2017-01-29,150
2017M01D30,2017-01-30,154
2017M01D31,2017-01-31,169
2017M02D01,2017-02-01,159
2017M02D02,2017-02-02,176
2017M02D03,2017-02-03,197
2017M02D04,2017-02-04,159
2017M02D05,2017-02-05,197
2017M02D06,2017-02-06,159
2017M02D07,2017-02-07,158
2017M02D08,2017-02-08,152
2017M02D09,2017-02-09,164
2017M02D10,2017-02-10,154
2017M02D11,2017-02-11,157
2017M02D12,2017-02-12,156
2017M02D13,2017-02-13,171
2017M02D14,2017-02-14,177
2017M02D15,2017-02-15,147
2017M02D16,2017-02-16,183
2017M02D17,2017-02-17,200
2017M02D18,2017-02-18,179
2017M02D19,2017-02-19,171
2017M02D20,2017-02-20,192
2017M02D21,2017-02-21,161
2017M02D22,2017-02-22,147
2017M02D23,2017-02-23,203
2017M02D24,2017-02-24,155
2017M02D25,2017-02-25,139
2017M02D26,2017-02-26,159
